number,customer,description,price,country,url_addr,deadline
2019-726754,"Учреждение здравоохранения ""Витебский городской клинический роддом №2""","выбор генподрядчика на разработку проектно-сметной документации ""Модернизация лечебного газоснабжения""",15 000,BLR,http://www.icetrade.by/tenders/all/view/726754,2019-07-15
2019-726687,АКАДЕМИЯ МВД,Услуги по художественному оформлению специализированных учебных кабинетов-полигонов,16 500,BLR,http://www.icetrade.by/tenders/all/view/726687,2019-07-05
2019-726842,"РУП ""ЛЮБАНСКОЕ ЖКХ""","Закупка металлических оцинкованных контейнеров для ОБЩЕГО сбора отходов емкостью 1,1 куб.м. типа «евроконтейнер», новый",25 000,BLR,http://www.icetrade.by/tenders/all/view/726842,2019-07-11
2019-726841,Управление по образованию администрации Советского района г. Минска,Закупка технологического оборудования,103 950,BLR,http://www.icetrade.by/tenders/all/view/726841,2019-07-11
2019-726840,"РУП ""БЕЛМЕДПРЕПАРАТЫ""","Закупка хим. реактивов, лабораторных принадлежностей, посуды",0,BLR,http://www.icetrade.by/tenders/all/view/726840,2019-07-01
2019-726839,НЕСВИЖСКАЯ ЦРБ,"Закупка систем видеонаблюдения в Несвижской ЦРБ, Сновской амбулатории",0,BLR,http://www.icetrade.by/tenders/all/view/726839,2019-07-11
2019-726838,"ОАО ""МОЖЕЛИТ""",Холодильная машина TRANE CGWH230 с охлаждаемым водой конденсатором,38 596,BLR,http://www.icetrade.by/tenders/all/view/726838,2019-07-02
2019-726837,РЕСПУБЛИКАНСКИЙ ГОСПИТАЛЬ МВД,"моющие средства для мойки хирургического инструмента, принадлежностей для анестезии, лабораторной посуды и других подобных предметов",0,BLR,http://www.icetrade.by/tenders/all/view/726837,2019-07-05
2019-726836,Представительство АО «НИАЭП» в Республике Беларусь,№ 13996/1648 Блр1/ОКП-19 «Поставка площадки в комплекте со сборным настилом для здания реактора UJA для сооружения энергоблока № 1 Белорусской АЭС»,2 160 000,BLR,http://www.icetrade.by/tenders/all/view/726836,2019-07-09
2019-726835,в/ч 97069,повторная закупка ноутбуков (лот 2),1 530,BLR,http://www.icetrade.by/tenders/all/view/726835,2019-07-06
2019-726834,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядчика на выполнение строительно-монтажных работ на объекте строительства «Замена лифтов в жилом доме № 18 корпус 1 по ул. Одинцова в                           г. Минске» (14 кабин) в интересах коммунального унитарного предприятия «Жилищное коммунальное хозяйство № 1 Фрунзенского района г. Минска»,КС357-06/191",308 000,BLR,http://www.icetrade.by/tenders/all/view/726834,2019-07-31
2019-726833,"УП ""Ганцевичское ПМС""",закупка   автомобиля для перевозки пассажиров (микроавтобуса),63 600,BLR,http://www.icetrade.by/tenders/all/view/726833,2019-07-02
2019-726372,"ОАО ""МТЗ""",закупка динамического тренажера,270 000,BLR,http://www.icetrade.by/tenders/all/view/726372,2019-07-08
2019-726574,"ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""","доставка комплектующих (999 кг., 4,56 куб.м) жд транспортом по маршруту г. Пекин, Китай - ОАО ""МАЗ"", г. Минск, Беларусь",0,BLR,http://www.icetrade.by/tenders/all/view/726574,2019-07-01
2019-726573,"ОАО ""Слуцкий сахарорафинадный комбинат""","Повторная закупка Рукав фторопластовый, армированный, повышенной гибкости.",0,BLR,http://www.icetrade.by/tenders/all/view/726573,2019-07-04
2019-726572,10-я городская клиническая больница,Диагностика пульсоксиметра,0,BLR,http://www.icetrade.by/tenders/all/view/726572,2019-07-11
2019-726571,"РУП ""Производственное объединение ""Белоруснефть""",Редукторы цилиндрические,249 900,BLR,http://www.icetrade.by/tenders/all/view/726571,2019-07-05
2019-726570,ПАО «Энергоспецмонтаж»,Поставка сварочной проволоки для Представительства ПАО «Энергоспецмонтаж» в Республике Беларусь.,1 218 479.76,RUS,http://www.icetrade.by/tenders/all/view/726570,2019-07-04
2019-726569,"ЗАО ""БЕЛСПЕЦЭНЕРГО""",комрессор с электроприводом согласно условий тех.задания,0,BLR,http://www.icetrade.by/tenders/all/view/726569,2019-07-01
2019-726568,"ОАО ""Гомсельмаш""",Лента маскировочная влагоустойчивая арт 1140.3650 или ее аналог,60 000,BLR,http://www.icetrade.by/tenders/all/view/726568,2019-07-01
2019-726567,Долговская средняя школа,Оборудование для кабинета обслуживающего труда,2 393,BLR,http://www.icetrade.by/tenders/all/view/726567,2019-07-27
2019-726566,"Унитарное предприятие ""Бобруйская ПМК""",Поставка панелей стеновых металлических трехслойных для объекта: «Строительство торгового павильона «Молодёжный» по улице Молодежная в г. Славгороде»,11 000,BLR,http://www.icetrade.by/tenders/all/view/726566,2019-07-11
2019-726565,"РУП ""Производственное объединение ""Белоруснефть""",Услуги по наклонно-направленному бурению,4 080 000,BLR,http://www.icetrade.by/tenders/all/view/726565,2019-07-16
2019-726564,"Государственное предприятие ""Браслав-коммунальник""",Выбор проектной организации на выполнение проектно-изыскательских работ по объектам: №1 «Модернизация участка тепловой сети котельной «Дом-интернат» для престарелых и инвалидов в г.Браслав»; №2 «Модернизация участка тепловой сети от здания Октября 7б г.Браслав»,20 000,BLR,http://www.icetrade.by/tenders/all/view/726564,2019-07-05
2019-726563,"ОАО ""Несвижский завод медицинских препаратов""",субстанции аминокислот,21 980,BLR,http://www.icetrade.by/tenders/all/view/726563,2019-07-04
2019-726562,РНПЦ трансфузиологии и медицинских биотехнологий,Колпачки алюминиевые медицинские,0,BLR,http://www.icetrade.by/tenders/all/view/726562,2019-07-05
2019-726753,Могилевская инфекционная больница,услуги по стирке белья,508.64,BLR,http://www.icetrade.by/tenders/all/view/726753,2019-07-04
2019-726752,РНПЦ оториноларингологии,Вакуумные системы для взятия крови,0,BLR,http://www.icetrade.by/tenders/all/view/726752,2019-07-12
2019-726751,Отдел культуры Полоцкого райисполкома,Автомобиль новый для перевозки пассажиров,67 000,BLR,http://www.icetrade.by/tenders/all/view/726751,2019-07-11
2019-726750,БГУКИ,"Работы по капитальному ремонту кровли учебного корпуса №1 Белорусского государственного университета культуры и искусств по ул. Рабкоровской, 17 в г. Минске",865 068,BLR,http://www.icetrade.by/tenders/all/view/726750,2019-07-11
2019-726749,"Коммунальное жилищно-эксплуатационное унитарное предприятие ""Рогачев""",выбор подрядчика на разработку ТЭО и строительство объекта «под ключ» по объектам,380 000,BLR,http://www.icetrade.by/tenders/all/view/726749,2019-07-16
2019-726748,Гродненская областная клиническая больница,"Закупка диска жесткого с установкой программного обеспечения для ремонта сканера ультразвукового «2002 ProFocus» производства компании В-К Medical, Дания для отделения ультразвуковой диагностики учреждения здравоохранения",0,BLR,http://www.icetrade.by/tenders/all/view/726748,2019-07-11
2019-726747,"ОАО ""Беларуськалий""",закупка запасных частей для щеленарезной машины ESF-70 и холодильной установки RK-130,0,BLR,http://www.icetrade.by/tenders/all/view/726747,2019-07-08
2019-726746,"Государственное областное унитарное предприятие ""Управление капитального строительства Гродненского облисполкома""",лот №1 «сейф» для комплектации объекта: «Строительство административного здания государственного учреждения «Островецкий районный центр гигиены и эпидемиологии» по ул. Володарского в г.п. Островец».,700,BLR,http://www.icetrade.by/tenders/all/view/726746,2019-07-10
2019-726745,РЕСПУБЛИКАНСКИЙ ЦЕНТР МЕДИЦИНСКОЙ РЕАБИЛИТАЦИИ И БАЛЬНЕОЛЕЧЕНИЯ,Реагенты и расходные материалы для клинико-диагностической лаборатории август - декабрь 2019 года.,0,BLR,http://www.icetrade.by/tenders/all/view/726745,2019-07-04
2019-726744,Минское областное патологоанатомическое бюро,"Транспортные услуги, оказываемые специальными автомобилями (медицинская помощь)",50 000,BLR,http://www.icetrade.by/tenders/all/view/726744,2019-07-11
2019-726743,ГомГМУ,Наборы реагентовдля проведения исследований методом ИФА,40 818.93,BLR,http://www.icetrade.by/tenders/all/view/726743,2019-07-11
2019-726686,30-я городская клиническая поликлиника,моноблоки,0,BLR,http://www.icetrade.by/tenders/all/view/726686,2019-07-11
2019-726685,"Учреждение ""РЦОП ""Стайки""",Костюмы дзюдо (кимоно),12 000,BLR,http://www.icetrade.by/tenders/all/view/726685,2019-07-12
2019-726684,Брестский государственный торгово-технологический колледж,услуга по организации питания учащихся,60 000,BLR,http://www.icetrade.by/tenders/all/view/726684,2019-07-26
2019-726683,"ЗАО ""ГорТелекомСтрой""",Закупка металлоконструкций,349 845.60,BLR,http://www.icetrade.by/tenders/all/view/726683,2019-07-29
2019-726682,"Государственное учреждение ""ОБЪЕДИНЕНИЕ МИНСКМЕЛИОВОДХОЗ""",Пир на р.Цна,39 600,BLR,http://www.icetrade.by/tenders/all/view/726682,2019-07-04
2019-726681,Лидская ЦРБ,"Закупка строительных материалов и инструмента УЗ""Лидская ЦРБ "" на 2019 год.",51 313.60,BLR,http://www.icetrade.by/tenders/all/view/726681,2019-07-16
2019-726680,"Отдел образования, спорта и туризма Рогачёвского районного исполнительного комитета",Детские спасательные жилеты,8 820,BLR,http://www.icetrade.by/tenders/all/view/726680,2019-07-11
2019-726679,"ОАО ""БААЗ""","Запасные части для распылителей РРН-308 фирмы ""SAMES""",84 800,BLR,http://www.icetrade.by/tenders/all/view/726679,2019-07-10
2019-726678,"Учреждение ""СИЗО №2"" управления ДИН МВД Республики Беларусь по Витебской области",закупка  картофеля   поздних  сортов,19 228,BLR,http://www.icetrade.by/tenders/all/view/726678,2019-07-16
2019-726832,"СП ОАО ""Спартак""","Упаковочный материал из фольги мягкой, термосвариваемой,  без печати,  для завертки кондитерских изделий",609 012,BLR,http://www.icetrade.by/tenders/all/view/726832,2019-07-01
2019-726831,"УП ""Медтехника"" г. Гродно","ГродМТ 167/19-ЭА «Инструментарий стоматологический для учреждений здравоохранения г.Гродно и Гродненской области, для СШ №41 по заявке Государственного предприятия «УКС г.Гродно»",0,BLR,http://www.icetrade.by/tenders/all/view/726831,2019-07-30
2019-726830,Управление Государственного комитета судебных экспертиз Республики Беларусь по г. Минску,Продукты переработки нефти,0,BLR,http://www.icetrade.by/tenders/all/view/726830,2019-07-11
2019-726829,"Учреждение ""Бобруйский районный центр социального обслуживания населения""","Услуги  по  ремонту печей , ремонт электропроводки",1 288.20,BLR,http://www.icetrade.by/tenders/all/view/726829,2019-07-11
2019-726828,Гродненский облисполком,Планшет и ноутбуки,7 900,BLR,http://www.icetrade.by/tenders/all/view/726828,2019-07-04
2019-726827,"ОАО ""Строительный трест №2""",выбор субподрядной организации для выполнения работ по устройству закрытых переходов трубопроводом канализации Д=1200мм под железнодорожными путями методом продавливания L=44м и L=39м на объекте «Группа многоквартирных жилых домов по ул.60 лет Октября в г.Пинске (реконструкция канализационного коллектора)».,0,BLR,http://www.icetrade.by/tenders/all/view/726827,2019-07-04
2019-726826,"Учреждение здравоохранения ""Осиповичская ЦРБ""","закупка мясной продукции ( говядина, свинина, колбаса вареная, сосиски. сардельки.)",27 345,BLR,http://www.icetrade.by/tenders/all/view/726826,2019-07-16
2019-726825,Отдел по образованию Кобринского райисполкома,Закупка молочной продукции,112 170,BLR,http://www.icetrade.by/tenders/all/view/726825,2019-07-16
2019-726371,"КУП ""Витебскоблдорстрой""","Металлическое оцинкованное барьерное ограждение по типу 11ДО/190-0,75:2,0-1,0 для комплектации объекта «Текущий ремонт подъезда № 2 от автомобильной дороги Р-45 Полоцк-Глубокое-гр. Литвы (Котловка) к г. Новополоцку, км 1,700 – км 3,500 Полоцкого района»",0,BLR,http://www.icetrade.by/tenders/all/view/726371,2019-07-05
2019-726370,"ОАО ""Солигорская птицефабрика""",Закупка автомобильных запасных частей,0,BLR,http://www.icetrade.by/tenders/all/view/726370,2019-07-04
2019-726369,"ОАО ""Нафтан""",закупка ТЭУ по доставке крупногабаритных грузов (компрессоры ТК 1001 А/В) из Италии в июле-августе 2019г.,20 000,BLR,http://www.icetrade.by/tenders/all/view/726369,2019-07-04
2019-726368,"ОАО ""Могилёвский домостроительный комбинат""","Выбор поставщика дверей деревянных межкомнатных на объект: ""Многоквартирный жилой дом №5 по генплану в районе улицы Криулина с благоустройством прилегающей территории в г. Могилеве""",31 798.35,BLR,http://www.icetrade.by/tenders/all/view/726368,2019-07-02
2019-726367,"РУП ""БЕЛТЕЛЕКОМ""",закупка экскаваторов-погрузчиков (повторно),300 000,BLR,http://www.icetrade.by/tenders/all/view/726367,2019-07-30
2019-726366,"Унитарное строительное предприятие ""Специализированная передвижная механизированная колонна №33"" открытого акционерного общества ""Пинсксовхозстрой""","Выбор организации на поставку решёток перекрытия каналов навозоудаления для объекта ""Строительство молочно-товарного комплекса ""Купалинка"" в ОАО ""Агрокомбинат ""Юбилейный"" Оршанского района Витебской области""",30 260,BLR,http://www.icetrade.by/tenders/all/view/726366,2019-07-02
2019-726365,"Государственное предприятие ""Дотишки""","Закупка шрота соевого, шрота подсолнечного",0,BLR,http://www.icetrade.by/tenders/all/view/726365,2019-07-05
2019-726364,"КУП ""Оршанская спецавтобаза""",Универсальная подметально-вакуумная машина,255 000,BLR,http://www.icetrade.by/tenders/all/view/726364,2019-07-16
2019-726363,"ОАО ""Птицефабрика ""Дружба""",Сырье для производства комбикормов,1,BLR,http://www.icetrade.by/tenders/all/view/726363,2019-07-17
2019-726362,"Открытое акционерное общество ""Красная Буда""",Закупка стрейч пленки,0,BLR,http://www.icetrade.by/tenders/all/view/726362,2019-07-05
2019-726361,РНПЦ НЕВРОЛОГИИ И НЕЙРОХИРУРГИИ,Комплектующие комплекса моторного для трепанации черепа,0,BLR,http://www.icetrade.by/tenders/all/view/726361,2019-07-17
2019-726561,"ОАО ""Гомсельмаш""",цепь,8 000,BLR,http://www.icetrade.by/tenders/all/view/726561,2019-07-01
2019-726560,Управление по образованию Полоцкого райисполкома,"закупка овощей и фруктов для детского оздоровительного лагеря ""Чайка""",3 282.10,BLR,http://www.icetrade.by/tenders/all/view/726560,2019-07-05
2019-726559,"Государственное областное унитарное предприятие ""Управление капитального строительства Гродненского облисполкома""","лот №1 «электрический штабелер, тележка гидравлическая», лот №2 «емкости, баки, кассеты, контейнера», лот №3 «спадбонд» для комплектации объекта: «Строительство центральной районной больницы в г.Островец».",13 500,BLR,http://www.icetrade.by/tenders/all/view/726559,2019-07-02
2019-726558,Отдел по образованию администрации Ленинского района г. Бобруйска,Технологическое оборудование,16 500,BLR,http://www.icetrade.by/tenders/all/view/726558,2019-07-05
2019-726557,"ОАО ""ПСВ""",Лента термоактивируемая,0,BLR,http://www.icetrade.by/tenders/all/view/726557,2019-07-12
2019-726556,"ОАО ""Минский завод игристых вин""",ремонт трубопровода,42 650.47,BLR,http://www.icetrade.by/tenders/all/view/726556,2019-07-10
2019-726555,"Открытое акционерное общество ""Дорожно-строительный трест №2, г. Гомель""",Оцинкованное защитное ограждение (от животных) из сетки (в комплекте),70 126,BLR,http://www.icetrade.by/tenders/all/view/726555,2019-07-11
2019-726554,"УП ""Агрокомплекс ""Белая Русь""",Ветеринарные препараты,0,BLR,http://www.icetrade.by/tenders/all/view/726554,2019-07-10
2019-726553,РНПЦ ОМР им. Н.Н. Александрова,Текстильные изделия (белье и постельные принадлежности),17 300,BLR,http://www.icetrade.by/tenders/all/view/726553,2019-07-08
2019-726742,"УП ""УКС МИНГОРИСПОЛКОМА""",Шкаф для сушки одежды и обуви,16 000,BLR,http://www.icetrade.by/tenders/all/view/726742,2019-07-13
2019-726741,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи",БарМТ №430/19 Вакуумные системы и микропробирки для взятия капиллярной крови,0,BLR,http://www.icetrade.by/tenders/all/view/726741,2019-07-17
2019-726740,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи","БарМТ №273/19 - П – Реагенты для автоматических биохимических анализаторов с адаптацией на анализаторы серии""ВS"" пр-ва MINDRAY. Китай.",0,BLR,http://www.icetrade.by/tenders/all/view/726740,2019-07-08
2019-726739,"ОДО ""Стройинженерсервис""","Строительство объекта: «Тепловая реабилитация стен с заменой окон учебно-производственного корпуса по ул. Гагарина, 39 в г. Витебске» 3-й пусковой комплекс, 4-й пусковой комплекс»",506 414,BLR,http://www.icetrade.by/tenders/all/view/726739,2019-07-11
2019-726738,"Государственное предприятие ""Единица""",Комплект рольгангов,2 850,BLR,http://www.icetrade.by/tenders/all/view/726738,2019-07-04
2019-726737,ГХУ УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РЕСПУБЛИКИ БЕЛАРУСЬ,"Текущий ремонт бетонного ограждения, части фасада, ремонт колодца по проезду Интернациональному,13 в г.Гомеле",13 595.96,BLR,http://www.icetrade.by/tenders/all/view/726737,2019-07-15
2019-726736,Сектор культуры Островецкого райисполкома,Текущий ремонт крыльца в здании ОКиД аг. Михалишки (д. Ольховка),40 000,BLR,http://www.icetrade.by/tenders/all/view/726736,2019-07-11
2019-726735,"ОАО ""Строительный трест № 14""",подложка полистирольная,6,BLR,http://www.icetrade.by/tenders/all/view/726735,2019-07-05
2019-726734,"ОАО ""Щучинагропродукт""",Закупка варочно-коптильной камеры,0,BLR,http://www.icetrade.by/tenders/all/view/726734,2019-07-01
2019-726733,"Государственное предприятие ""Управляющая компания холдинга ""Агропромышленный холдинг Управления делами Президента Республики Беларусь""","Закупка шрота подсолнечного, шрота рапсового, шрота соевого, жмыха рапсового (потребность III квартала 2019 г.)",0,BLR,http://www.icetrade.by/tenders/all/view/726733,2019-07-16
2019-726732,"Государственное предприятие ""Единица""",Накопитель для бревен,8 950,BLR,http://www.icetrade.by/tenders/all/view/726732,2019-07-04
2019-726478,"РУП ""Брестэнерго""",Работы по ремонту паропроводов и наладке опорно-подвесной системы,384 354.41,BLR,http://www.icetrade.by/tenders/all/view/726478,2019-07-01
2019-726270,"Учреждение здравоохранения ""Осиповичская ЦРБ""","закупка цыплят бройлерных (замороженных, 1 категории)",11 104,BLR,http://www.icetrade.by/tenders/all/view/726270,2019-07-15
2019-726677,Отдел по образованию Кричевского райисполкома,Лакокрасочная продукция,15 002.80,BLR,http://www.icetrade.by/tenders/all/view/726677,2019-07-11
2019-726676,МЦТ,"Оказание услуг по техническому обслуживанию рентгенотелевизионных установок конвейерного типа, используемых в таможенных органах Рес-публики Беларусь",14 500,BLR,http://www.icetrade.by/tenders/all/view/726676,2019-07-16
2019-726675,МИНСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА,услуга по ремонту медицинского оборудования,41 400,BLR,http://www.icetrade.by/tenders/all/view/726675,2019-07-11
2019-726674,"ОАО ""МТЗ""",сольвент каменноугольный (марка А или Б),0,BLR,http://www.icetrade.by/tenders/all/view/726674,2019-07-04
2019-726673,ОАО «СветлогорскХимволокно»,Этикетки самоклеящиеся (2 лота),12 765.60,BLR,http://www.icetrade.by/tenders/all/view/726673,2019-07-08
2019-726672,РОДДОМ № 2,работы по техническому обслуживанию и ремонту медицинской техники,0,BLR,http://www.icetrade.by/tenders/all/view/726672,2019-07-16
2019-726671,Министерство обороны Республики Беларусь,Система аэродромная автоматизированная метеорологическая «АМИС-ПЕЛЕНГ СФ-09» или аналог,440 000,BLR,http://www.icetrade.by/tenders/all/view/726671,2019-07-16
2019-726670,"ГО ""Минское городское жилищное хозяйство""",Легковой автомобиль (новый),50 600,BLR,http://www.icetrade.by/tenders/all/view/726670,2019-07-08
2019-726669,"ОАО ""СТРОЙТРЕСТ №4""","Переговоры по выбору поставщика напольного гомогенного покрытия в комплекте с клеем и шнуром для объекта «Строительство многоквартирных жилых домов с инженерно-транспортной инфраструктурой и объектами социально-гарантируемого обслуживания населения в д. Копище Боровлянского сельсовета Минского района. Школа №1, СОЦ» (Лоты №1,2).",285 567.10,BLR,http://www.icetrade.by/tenders/all/view/726669,2019-07-05
2019-726668,"ОАО ""Стройтрест № 3 Ордена Октябрьской революции""","Закупка покрытия беговых дорожек, геополотна",0,BLR,http://www.icetrade.by/tenders/all/view/726668,2019-07-09
2019-726667,Управление по образованию администрации Партизанского района г.Минска,"Закупка торгово-технологического, холодильного оборудования для пищеблоков учреждений образования  в интересах управления по образованию администрации Партизанского района г.Минска",84 200,BLR,http://www.icetrade.by/tenders/all/view/726667,2019-07-16
2019-726666,"УП ""УКС МИНГОРИСПОЛКОМА""",Спортивное оборудование,0,BLR,http://www.icetrade.by/tenders/all/view/726666,2019-07-16
2019-726665,"ГНПО ""НПЦ НАН Беларуси по биоресурсам""",химических реактивов для молекулярно-генетических исследований,0,BLR,http://www.icetrade.by/tenders/all/view/726665,2019-07-05
2019-726824,Лидская ЦРБ,Закупка автомобиля скорой неотложной медицинской помощи класса В,100 000,BLR,http://www.icetrade.by/tenders/all/view/726824,2019-07-16
2019-726823,Новополоцкий государственный политехнический колледж,Закупка стола сварщика,0,BLR,http://www.icetrade.by/tenders/all/view/726823,2019-07-11
2019-726822,"Учреждение ""Гомельская областная клиническая психиатрическая больница""",Мука пшеничная в/с,568,BLR,http://www.icetrade.by/tenders/all/view/726822,2019-07-06
2019-726821,Отдел по образованию Городокского районного исполнительного комитета,"Выбор подрядной организации для выполнения строительно-ремонтных работ по объекту ""Текущий ремонт дорожного покрытия в ГУО ""Езерищенский ясли-сал"" г.п.Езерище",15 000,BLR,http://www.icetrade.by/tenders/all/view/726821,2019-07-11
2019-726820,"Государственное предприятие ""Жилищник Минщины""",Трактор «Беларус – 82.1» либо аналог,38 872,BLR,http://www.icetrade.by/tenders/all/view/726820,2019-07-11
2019-726819,Гродненский облисполком,Видео коммутационное и активное сетевое каналообразующее оборудование,11 000,BLR,http://www.icetrade.by/tenders/all/view/726819,2019-07-04
2019-726169,"Коммунальное унитарное производственное сельскохозяйственное предприятие Верхнедвинского района ""Кохановичи""",закупка семян рапса и озимой ржи,40 550,BLR,http://www.icetrade.by/tenders/all/view/726169,2019-07-04
2019-726360,"ОАО ""Бобруйский завод биотехнологий""",Закупка зерна кукурузы,575 000,BLR,http://www.icetrade.by/tenders/all/view/726360,2019-07-01
2019-726359,"Унитарное городское предприятие ""Трест ""Гродногорстрой""","Закупка монтируемого и не монтируемого технологического оборудования, оргтехники и мебели (пищеблок)",91 771.88,BLR,http://www.icetrade.by/tenders/all/view/726359,2019-07-02
2019-726358,"ОАО ""Щучинагропродукт""",Закупка граблей,90 000,BLR,http://www.icetrade.by/tenders/all/view/726358,2019-07-01
2019-726357,"ОАО ""ПСВ""",Лента упаковочная полипропиленовая 19×1мм,38 328,BLR,http://www.icetrade.by/tenders/all/view/726357,2019-07-19
2019-726356,"Отдел идеологической работы, культуры и по делам молодежи Минского районного исполнительного комитета",Работы по текущему ремонту здания и помещений,140 000,BLR,http://www.icetrade.by/tenders/all/view/726356,2019-07-06
2019-726355,Отдел по образованию Белыничского райисполкома,"Текущий ремонт пищеблока в здании  ГУО «Техтинский учебно-педагогический комплекс детский сад-средняя школа Белыничского района» по адресу аг. Техтин, ул. Победы-2, д. 17.",21 000,BLR,http://www.icetrade.by/tenders/all/view/726355,2019-07-08
2019-726354,Отдел по образованию Городокского районного исполнительного комитета,"Выбор подрядной организации для выполнения строительно-ремонтных работ:Текущий ремонт здания ГУО ""Езерищенской средней школы""(спортивный зал)",21 200,BLR,http://www.icetrade.by/tenders/all/view/726354,2019-07-11
2019-726353,"Государственное предприятие ""Совхоз-комбинат ""Заря""",Закупка услуг по приготовлению горячего питания,0,BLR,http://www.icetrade.by/tenders/all/view/726353,2019-07-04
2019-726352,Брестский райисполком,разработка и (или) корректировка проектов водоохранных зон и прибрежных полос водных объектов Брестского района Брестской области с учетом требований Водного кодекса Республики Беларусь,30 000,BLR,http://www.icetrade.by/tenders/all/view/726352,2019-07-05
2019-726351,"КУП ""Витебскоблдорстрой""",Краски дорожной разметочной для нанесения горизонтальной разметки на асфальтобетонное покрытие автодорог (комплект краски разметочной со стеклошариками и растворителем с белой эмалью),0,BLR,http://www.icetrade.by/tenders/all/view/726351,2019-07-05
2019-726350,"ОАО ""Солигорская птицефабрика""",Маркетинговые исследования на закупку весов автомобильных,0,BLR,http://www.icetrade.by/tenders/all/view/726350,2019-07-16
2019-726349,"Унитарное городское предприятие ""Трест ""Гродногорстрой""","на закупку монтируемого и не монтируемого технологического оборудования, оргтехники и мебели (пищеблок)",68 615.88,BLR,http://www.icetrade.by/tenders/all/view/726349,2019-07-01
2019-726552,"ОАО ""Беларуськалий""",Закупка запасных частей для куттера вакуумного CUTVAC 200 Castelval инв. № 198929 (или аналог),0,BLR,http://www.icetrade.by/tenders/all/view/726552,2019-07-05
2019-726551,"ГЛХУ ""Телеханский лесхоз""",Закупка пожарно-наблюдательных мачт с установкой,18 000,BLR,http://www.icetrade.by/tenders/all/view/726551,2019-07-11
2019-726550,"Волковысское ОАО ""Беллакт""",закупка металлосепаратора,28 728,BLR,http://www.icetrade.by/tenders/all/view/726550,2019-07-23
2019-726548,Отдел образования Горецкого РИК,Продукты питания на III квартал 2019 года,183 339.30,BLR,http://www.icetrade.by/tenders/all/view/726548,2019-07-06
2019-726547,"Унитарное предприятие ""УКС Ивановского района""","по выбору подрядной организации для выполнения работ по текущему ремонту рулонного покрытия кровли поликлиники УЗ ""Ивановская ЦРБ""",17 870,BLR,http://www.icetrade.by/tenders/all/view/726547,2019-07-04
2019-726546,"Государственное предприятие ""Жилищное коммунальное хозяйство Советского района г. Минска""","Техническое диагностирование лифтов жилых домов, находящихся на обслуживании КУП «Жилищное коммунальное хозяйство Советского района г. Минска» в 2019 году",18 836,BLR,http://www.icetrade.by/tenders/all/view/726546,2019-07-18
2019-726545,"КУПП ""Городокское предприятие котельных и тепловых сетей""","Выбор инженерной организации для осуществления технического надзора по объекту: ""Модернизация участков тепловых сетей в г. Городке (ул. Баграмяна, ул. Чкалова, ул. Гагарина, медсклады, начальная школа)""",1 431,BLR,http://www.icetrade.by/tenders/all/view/726545,2019-07-12
2019-726544,Войсковая часть 63755,Текущий ремонт крана мостового КМ-5,13 800,BLR,http://www.icetrade.by/tenders/all/view/726544,2019-07-11
2019-726543,Городской эндокринологический диспансер,"Реагенты, контрольные и расходные материалы для полуавтоматического анализатора гемостаза",0,BLR,http://www.icetrade.by/tenders/all/view/726543,2019-07-05
2019-726542,"ОАО ""Могилевхимволокно""",Триэтилфосфат или аналог,38 717,BLR,http://www.icetrade.by/tenders/all/view/726542,2019-07-02
2019-726731,"РУП ""Медтехника""","МогМТ№95/19-""Изделия лабораторные""",0,BLR,http://www.icetrade.by/tenders/all/view/726731,2019-08-14
2019-726730,"Государственное предприятие ""Жилищное коммунальное хозяйство № 1 Московского района г.Минска""","Выполнение работ по текущему ремонту крылец жилых домов, в интересах КУП ""Жилищное коммунальное хозяйство №1 Московского района г. Минска""",13 495.96,BLR,http://www.icetrade.by/tenders/all/view/726730,2019-07-12
2019-726729,"ОАО ""Спецжелезобетон""",Проведение технического обслуживания установок умягчения воды Flack 9100/1600 и CLACK WS1 Duoblock,0,BLR,http://www.icetrade.by/tenders/all/view/726729,2019-07-15
2019-726728,"ОАО ""БААЗ""",Запасные части для барфидеров Fedek SN542,15 300,BLR,http://www.icetrade.by/tenders/all/view/726728,2019-07-10
2019-726727,НАЦИОНАЛЬНЫЙ ИНСТИТУТ ОБРАЗОВАНИЯ,Реконструкция и капитальный ремонт УОСО в Витебской области,0,BLR,http://www.icetrade.by/tenders/all/view/726727,2019-07-30
2019-726726,Витебский государственный медицинский университет,"Техническая модернизация части помещений Центра клинических исследований в Клинике УО «ВГМУ», г.Витебск, пр-т Победы, 20",10 000,BLR,http://www.icetrade.by/tenders/all/view/726726,2019-07-04
2019-726725,"Учреждение ""Минский НПЦ хирургии, трансплантологии и гематологии""",Протез биологический полотен перикарда,0,BLR,http://www.icetrade.by/tenders/all/view/726725,2019-07-16
2019-726724,"ОАО ""Нафтан""","Устройство для вырезки отверстий в трубопроводе, находящемся под давлением транспортируемой среды",0,BLR,http://www.icetrade.by/tenders/all/view/726724,2019-07-12
